Pair,Acc,Kappa
GT/R1,1.00,1.00
GT/R2,1.00,1.00
GT/R3,0.80,0.41
GT/R4,1.00,1.00
GT/R5,1.00,1.00
GT/R6,1.00,1.00
GT/R7,1.00,1.00
GT/R8,1.00,1.00
R1/R2,1.00,1.00
R1/R3,0.80,0.41
R1/R4,1.00,1.00
R1/R5,1.00,1.00
R1/R6,1.00,1.00
R1/R7,1.00,1.00
R1/R8,1.00,1.00
R2/R3,0.80,0.41
R2/R4,1.00,1.00
R2/R5,1.00,1.00
R2/R6,1.00,1.00
R2/R7,1.00,1.00
R2/R8,1.00,1.00
R3/R4,0.80,0.41
R3/R5,0.80,0.41
R3/R6,0.80,0.41
R3/R7,0.80,0.41
R3/R8,0.80,0.41
R4/R5,1.00,1.00
R4/R6,1.00,1.00
R4/R7,1.00,1.00
R4/R8,1.00,1.00
R5/R6,1.00,1.00
R5/R7,1.00,1.00
R5/R8,1.00,1.00
R6/R7,1.00,1.00
R6/R8,1.00,1.00
R7/R8,1.00,1.00
