dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,6,5,10175,10175,2310,18,0.9107877254033534,0.8495002939447384,13.705321311950684,3.147200584411621,0.8720553825466233,0.8773220963074961,0.7942249043001841,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,7,6,10175,10175,2310,19,0.9152799746915533,0.8400940623162846,19.14900779724121,4.010584831237793,0.8370314385819455,0.8768448638529786,0.7942386654177911,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,7,6,10175,10175,2310,18,0.9182537171781082,0.8400940623162846,38.28672790527344,5.273556232452393,0.8721087427414531,0.881807145520639,0.8023569741994557,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,8,7,10175,10175,2310,17,0.9162923125593166,0.8447971781305115,11.8491849899292,3.147581100463867,0.875314884562826,0.8805386546759204,0.8003088194952702,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,8,7,10175,10175,2310,19,0.9164821259095223,0.8389182833627278,15.278965950012207,3.229529857635498,0.8753762690753595,0.8783207868298512,0.7973614383060075,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,9,8,10175,10175,2310,19,0.9181271749446378,0.8495002939447384,17.544790267944336,3.6835949420928955,0.873150366105719,0.880019531952135,0.7993805695621493,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,9,8,10175,10175,2310,19,0.916102499209111,0.8395061728395061,27.800518035888672,4.232471466064453,0.8717179200397283,0.8791198823968025,0.7979979525458618,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,10,9,10175,10175,2310,19,0.9134451123062322,0.847148736037625,12.856013298034668,3.294584274291992,0.8704338974266683,0.8766348432842396,0.7939541855865354,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,10,9,10175,10175,2310,20,0.9149636191078773,0.8430335097001763,21.960119247436523,3.890605926513672,0.8782188042575072,0.8770373311847631,0.7947373182794379,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,2.0,1,0,10175,20350,4620,18,0.9141410945903196,0.8406819517930629,8.386262893676758,2.7108097076416016,0.8621884877880177,0.8768617681825958,0.7955569804845335,rounded_mean,3161,15805,1701
