dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,1,0,10175,0,0,58,0.8820626384055679,0.8101116990005879,0.623497486114502,0.6045716404914856,0.837102045380469,0.8340567715670545,0.7389837749918159,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,2,1,10175,0,0,103,0.8875672255615311,0.7936507936507936,0.6025678515434265,0.5881873369216919,0.8441378799694519,0.8395421582629264,0.7463234547190676,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,3,2,10175,0,0,71,0.8831382473900664,0.7889476778365667,0.6534446477890015,0.6165105700492859,0.8298530938599242,0.827690468128934,0.7311156683484588,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,4,3,10175,0,0,73,0.8844036697247707,0.7965902410346855,0.5966023206710815,0.5920549035072327,0.8401856437029807,0.836276018379222,0.740567054123026,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,5,4,10175,0,0,90,0.8864916165770326,0.7789535567313345,0.6305293440818787,0.6034080386161804,0.8383285409912276,0.8360590158387063,0.7409008237755282,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,6,5,10175,0,0,98,0.885416007592534,0.7907113462669019,0.6168164610862732,0.5969028472900391,0.8404329015070573,0.8361157204298494,0.74146678101238,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,7,6,10175,0,0,83,0.8822524517557735,0.8065843621399177,0.6365271210670471,0.6084710955619812,0.8318206072428964,0.8295337306227832,0.7333282058575123,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,8,7,10175,0,0,75,0.8861752609933565,0.8112874779541446,0.6148220896720886,0.5974056124687195,0.8379882198882171,0.835203671154917,0.7399370451387677,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,9,8,10175,0,0,48,0.8861119898766213,0.7936507936507936,0.6396666765213013,0.6096944212913513,0.8323128027434663,0.8316103199825002,0.7359238028403147,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,10,9,10175,0,0,89,0.886301803226827,0.7895355673133451,0.6001409888267517,0.5937939286231995,0.8399626132375531,0.8363456110901241,0.7405760614000051,rounded_mean,3161,15805,1701
VICR,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,1,0,10175,10175,2310,19,0.8521986713065486,0.7513227513227513,7.2598114013671875,2.3350796699523926,0.7512237026513375,0.7754823741258594,0.6761054756137483,rounded_mean,3161,15805,1701
