dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,6,5,3693,369,81,29,0.8546080964685616,0.8299731182795699,21.867706298828125,3.8091650009155273,0.6976429436437854,0.6392133283177461,0.5147601380199581,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,6,5,3693,369,81,21,0.8637381567614125,0.8360215053763441,15.364852905273438,3.2178945541381836,0.714982394499657,0.6474478522440923,0.5234292909846596,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,7,6,3693,369,81,20,0.8222222222222222,0.7950268817204301,9.35781478881836,2.230562448501587,0.6918657337384744,0.5840156843863485,0.46921444209267454,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,7,6,3693,369,81,19,0.7782945736434108,0.7352150537634409,5.69952917098999,1.8140358924865723,0.625984505419666,0.5053248655948536,0.40174461262937516,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,8,7,3693,369,81,19,0.8046511627906977,0.758736559139785,30.573518753051758,4.875870704650879,0.6273527418264564,0.5514124528738162,0.43972903456508206,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,8,7,3693,369,81,19,0.7958656330749354,0.7473118279569892,26.628997802734375,4.596153259277344,0.6192326125690215,0.5383967746897073,0.4292635349796712,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,9,8,3693,369,81,19,0.8501291989664083,0.8360215053763441,64.70348358154297,4.337436676025391,0.723163620792505,0.6304461965869562,0.5105581113433205,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,9,8,3693,369,81,19,0.8606373815676142,0.823252688172043,29.062936782836914,3.1311051845550537,0.7180506705361296,0.6397688086606194,0.5177434978261585,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,10,9,3693,369,81,20,0.7982773471145564,0.7513440860215054,5.848987579345703,2.1175332069396973,0.4929144703516499,0.5301035062179676,0.4150589438599641,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,10,9,3693,369,81,20,0.8420327304048234,0.8192204301075269,7.729726791381836,2.4456090927124023,0.6614503228664717,0.6265660316128979,0.499483278322691,rounded_mean,1161,5805,1488
