dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,6,5,3693,3693,810,17,0.8744186046511628,0.8508064516129032,4.471365928649902,1.8231244087219238,0.7374532120462618,0.6680234974688275,0.54130966626877,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,6,5,3693,3693,810,17,0.8739018087855297,0.8440860215053764,8.639482498168945,2.4196603298187256,0.7329478766362172,0.6638604132609872,0.5379820726387773,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,7,6,3693,3693,810,18,0.8675279931093884,0.8528225806451613,10.625757217407227,2.7161760330200195,0.7529731123739793,0.6694596093060997,0.544027926463544,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,7,6,3693,3693,810,18,0.8756244616709733,0.8608870967741935,12.475810050964355,2.9661705493927,0.7599775381181644,0.6789977387614735,0.5511223086021609,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,8,7,3693,3693,810,18,0.8583979328165374,0.8299731182795699,5.5239129066467285,2.0383095741271973,0.6968179173680937,0.6561427725445141,0.5296096729704486,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,8,7,3693,3693,810,18,0.8633936261843238,0.8393817204301075,11.588619232177734,2.837536096572876,0.7064561422204747,0.6640269810779585,0.537285691569956,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,9,8,3693,3693,810,21,0.8708010335917312,0.8366935483870968,11.3626127243042,2.5135579109191895,0.7227772504551808,0.6583027744664934,0.5311725736646782,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,9,8,3693,3693,810,16,0.8702842377260982,0.8353494623655914,4.445593357086182,1.7601735591888428,0.7160714451557624,0.6645113832548508,0.5362965139153804,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,10,9,3693,3693,810,20,0.8649440137812231,0.8306451612903226,9.7035493850708,2.6317265033721924,0.6941760443768885,0.6610771512027673,0.5342825482106641,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,10,9,3693,3693,810,17,0.8661498708010336,0.8387096774193549,10.669200897216797,2.7879247665405273,0.7315721291107877,0.658102407149414,0.5334476822702023,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,1,0,3693,7386,1620,17,0.876485788113695,0.8366935483870968,5.406174659729004,1.9117405414581299,0.7294773067135907,0.6709732832481282,0.5436045584273855,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,1,0,3693,7386,1620,16,0.8797588285960379,0.8494623655913979,6.03765869140625,2.043982744216919,0.7337422180659701,0.6777479774410365,0.5500698235776924,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,2,1,3693,7386,1620,17,0.8689061154177433,0.8326612903225806,5.337961196899414,1.9869377613067627,0.7374428487703426,0.6624692143716048,0.5360511978570456,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,2,1,3693,7386,1620,16,0.8804478897502154,0.8461021505376344,7.393924713134766,2.3606982231140137,0.7404751483795309,0.6739410866083085,0.5459271475603293,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,3,2,3693,7386,1620,16,0.8720068906115418,0.8514784946236559,5.994828701019287,2.1274662017822266,0.7380231354229778,0.6696611350617383,0.5427776059081603,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,3,2,3693,7386,1620,16,0.8770025839793282,0.8521505376344086,8.612724304199219,2.457037925720215,0.7199192031204689,0.6720960660421316,0.5441941083095126,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,4,3,3693,7386,1620,18,0.8637381567614125,0.8252688172043011,5.597480297088623,1.9955543279647827,0.684374722089558,0.6497058572828235,0.5234372044058961,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,4,3,3693,7386,1620,18,0.8756244616709733,0.8393817204301075,11.151800155639648,2.790203094482422,0.7157623692054358,0.6693664289964119,0.541388800481136,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,5,4,3693,7386,1620,18,0.8728682170542635,0.8467741935483871,10.168442726135254,2.786892890930176,0.713622548798071,0.6680566708072898,0.5406647224379866,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,5,4,3693,7386,1620,17,0.8761412575366063,0.8413978494623656,14.455851554870605,3.1131715774536133,0.733733929065238,0.6723873502663511,0.5448469655615327,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,6,5,3693,7386,1620,18,0.8766580534022395,0.8514784946236559,10.841750144958496,2.77614164352417,0.7312778567948612,0.6767084518418024,0.5494921438274202,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,6,5,3693,7386,1620,18,0.8830318690783807,0.8440860215053764,17.88309097290039,3.477102041244507,0.739664458730033,0.6805003900142264,0.552064005729317,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,7,6,3693,7386,1620,17,0.8680447889750216,0.8279569892473119,7.452425003051758,2.3841476440429688,0.7344062988809128,0.6620182589276962,0.5365853537905164,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,7,6,3693,7386,1620,17,0.8714900947459087,0.8467741935483871,14.160566329956055,3.1694836616516113,0.7183196473183102,0.6693059603016979,0.5408190341521004,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,8,7,3693,7386,1620,19,0.8670111972437554,0.834005376344086,8.769231796264648,2.5173535346984863,0.7213339641995162,0.6625515458088544,0.5370522456434761,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,8,7,3693,7386,1620,17,0.8742463393626184,0.8521505376344086,9.45531177520752,2.6403491497039795,0.7451862220532348,0.6676946214979124,0.5412819692944418,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,9,8,3693,7386,1620,17,0.8761412575366063,0.8501344086021505,5.918231010437012,2.0422372817993164,0.7322117769995202,0.6742579918374998,0.5447658529938575,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,9,8,3693,7386,1620,16,0.875452196382429,0.8440860215053764,8.731348037719727,2.518470287322998,0.7476639355290047,0.6784794885789935,0.5495198408017483,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,2.0,10,9,3693,7386,1620,17,0.8809646856158484,0.844758064516129,7.83162260055542,2.4538345336914062,0.7531936683168396,0.6775586120486499,0.5505248452987972,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,2.0,10,9,3693,7386,1620,18,0.8821705426356589,0.8393817204301075,16.46642303466797,3.4049642086029053,0.7472461430801189,0.6761590437592404,0.5482180830083266,rounded_mean,1161,5805,1488
