dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,1,0,3693,3693,810,18,0.8285960378983634,0.771505376344086,3.815002918243408,1.675227403640747,0.6361964089187211,0.59250417418474,0.4725143387483391,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,1,0,3693,3693,810,17,0.8203273040482343,0.7788978494623656,4.896027565002441,1.8417205810546875,0.6273766080192011,0.5810611450700461,0.4605690293916829,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,2,1,3693,3693,810,20,0.8301464254952627,0.7668010752688172,4.123196601867676,1.7010812759399414,0.6496141534006625,0.5937551525517561,0.47188917847064726,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,2,1,3693,3693,810,17,0.8227390180878553,0.7735215053763441,4.133482933044434,1.6657814979553223,0.6252473831752638,0.5803797224541672,0.4607866484756896,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,3,2,3693,3693,810,26,0.8304909560723515,0.801747311827957,7.271986484527588,2.268521785736084,0.6329386835561195,0.5942059889367602,0.473780486146196,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,3,2,3693,3693,810,17,0.8101636520241171,0.7741935483870968,4.634124755859375,1.7994669675827026,0.6080512757210386,0.5563555316512753,0.4407656927470774,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,4,3,3693,3693,810,18,0.8172265288544358,0.7836021505376344,6.276224136352539,2.189979076385498,0.6051431097894238,0.5712202078508892,0.4527070453931153,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,4,3,3693,3693,810,16,0.7838070628768303,0.7325268817204301,3.303522825241089,1.5929702520370483,0.5749336605561552,0.5143208726359648,0.40469236204001074,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,hinge,different_image,1.0,5,4,3693,3693,810,20,0.8270456503014643,0.8024193548387096,4.778738975524902,1.8434745073318481,0.630750637495467,0.5944581689252383,0.4737686160143411,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,bradley_terry,different_image,1.0,5,4,3693,3693,810,16,0.8137812230835486,0.7829301075268817,2.402043581008911,1.311280369758606,0.6213054781703988,0.5685400155272455,0.45059811863355986,rounded_mean,1161,5805,1488
