run,p_o,pearson,spearman,kendall_c
1,0.9826404751027866,0.7951172133816979,0.8191395096749773,0.6102669089201687
2,0.9826404751027866,0.7774250971848322,0.8045945469116579,0.5974458246996499
3,0.9789858382823207,0.7518552256779651,0.783214176773536,0.5746318243526014
4,0.9755596162631338,0.7849383191637946,0.8091343773508054,0.6022488378977023
5,0.9810415714938328,0.7857256255715612,0.8155029818155174,0.6091437209729609
