,N,pearson,spearman,kendall
0,1,0.8829500236796716,0.8857978757609153,0.8093321094111933
1,1,0.8655843438028892,0.8797624907899378,0.8001321767856251
2,1,0.8852057906924674,0.882961128478701,0.8036535216801655
3,1,0.8733863848018956,0.8822058862287319,0.8036505192545057
4,1,0.8746921441192304,0.8821319865026257,0.8034053211589643
5,2,0.8460312218870766,0.8719137998934697,0.7892839124728869
6,2,0.8548099820115788,0.8745975434787627,0.7933021588141059
7,2,0.842847421205899,0.8720620403169331,0.7890557281227504
8,2,0.8531989568440084,0.8756850734412287,0.7948389003475909
9,2,0.8532958483371286,0.8754002973432113,0.7944375761177456
10,3,0.8568096200615262,0.8733924235345772,0.7916923582562352
11,3,0.8476096304177364,0.8764275181175359,0.7956840831707938
12,3,0.8529077776112787,0.874988045667966,0.7937595283229321
13,3,0.8497829864935846,0.8763214640269755,0.795296269856417
14,3,0.8585625780865653,0.8772086687024108,0.7964156742232049
15,4,0.8590915161559078,0.878729956802008,0.7993430392414032
16,4,0.8561479533139912,0.8772378633510651,0.7983057011759801
17,4,0.8578362751392331,0.8773792857710282,0.7970927212094652
18,4,0.8583720650749271,0.8802753313392897,0.8013846886899927
19,4,0.8560409348400853,0.8786667011419619,0.799451126565152
20,5,0.8566302955849039,0.8801287121221321,0.8013981996054613
21,5,0.858483312151889,0.8791532006166205,0.8004934686733413
22,5,0.859394947884121,0.8799518606999633,0.8001907240859891
23,5,0.8596351842663802,0.879172270565355,0.8000335971431319
24,5,0.8592559068304408,0.8774857530858897,0.7970987260607846
